epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,370.585,2.53929,3.21984,2.60127,0.00102,0.07554,0.00055,0.00017,nan,nan,nan,0.000662005,0.000662005,0.000662005
2,832.587,2.73782,3.17136,2.68801,0.005,0.01079,0.00312,0.0009,nan,nan,nan,0.00132864,0.00132864,0.00132864
3,1513.13,2.59281,3.05516,2.54556,0.00377,0.03957,0.00206,0.00048,nan,nan,nan,0.00199512,0.00199512,0.00199512
4,2196.21,2.53763,3.075,2.54016,0.04759,0.05396,0.01615,0.00527,2.75758,7.89729,2.85692,0.00199951,0.00199951,0.00199951
5,2670.09,2.49825,3.05278,2.47003,0.05177,0.11511,0.0233,0.00638,2.6417,5.33764,2.89899,0.00199913,0.00199913,0.00199913
6,3009.12,2.47361,3.03959,2.43763,0.07134,0.05859,0.02328,0.00965,nan,nan,nan,0.00199864,0.00199864,0.00199864
7,3438.3,2.43233,2.97697,2.41676,0.0939,0.20863,0.04333,0.01226,2.51483,4.28198,2.57069,0.00199805,0.00199805,0.00199805
8,3711.48,2.3973,2.96479,2.40318,0.11062,0.16547,0.04832,0.01313,2.5597,5.50835,2.6516,0.00199734,0.00199734,0.00199734
9,4100.06,2.38853,2.97014,2.40184,0.14355,0.1295,0.05757,0.01513,2.52689,4.05976,2.55966,0.00199653,0.00199653,0.00199653
10,4491.77,2.36595,2.9386,2.35269,0.11297,0.14748,0.05803,0.02002,2.43723,4.24125,2.45997,0.00199561,0.00199561,0.00199561
11,4929.34,2.33597,2.91935,2.35006,0.14019,0.15827,0.06745,0.02338,2.37709,3.42654,2.44063,0.00199458,0.00199458,0.00199458
12,5452.72,2.32243,2.90967,2.33779,0.12466,0.11871,0.05424,0.01743,2.43551,3.93285,2.43866,0.00199344,0.00199344,0.00199344
13,5923.72,2.33521,2.89875,2.33902,0.11543,0.1671,0.07856,0.0335,2.41933,3.96705,2.47377,0.00199219,0.00199219,0.00199219
14,6624.25,2.31881,2.85892,2.32208,0.1389,0.14748,0.0756,0.02731,2.33112,3.32307,2.40456,0.00199084,0.00199084,0.00199084
15,7173.91,2.28147,2.86094,2.30378,0.19329,0.18345,0.09836,0.03738,2.27405,3.56674,2.3086,0.00198938,0.00198938,0.00198938
16,7613.78,2.31494,2.87001,2.31427,0.16482,0.16185,0.08115,0.03007,2.42562,3.3043,2.4656,0.00198781,0.00198781,0.00198781
17,8127.26,2.29394,2.86696,2.32032,0.11359,0.13669,0.04873,0.0161,2.39532,3.8011,2.40516,0.00198614,0.00198614,0.00198614
18,8392.15,2.2884,2.86302,2.29904,0.15584,0.20453,0.08538,0.03129,2.2827,3.40626,2.38599,0.00198435,0.00198435,0.00198435
19,8783.36,2.2607,2.85709,2.28006,0.20666,0.16547,0.1073,0.03705,2.31129,3.38804,2.38194,0.00198246,0.00198246,0.00198246
20,9213.75,2.25931,2.81462,2.25939,0.19776,0.19784,0.10888,0.04054,2.2842,3.44863,2.31218,0.00198047,0.00198047,0.00198047
21,9678.95,2.26415,2.83659,2.26731,0.15945,0.18705,0.09537,0.0381,2.33962,3.23542,2.34963,0.00197837,0.00197837,0.00197837
22,10012.8,2.23954,2.81052,2.25381,0.24391,0.17986,0.11743,0.0443,2.37321,3.41523,2.40002,0.00197616,0.00197616,0.00197616
23,39161.1,2.2672,2.82705,2.27665,0.21101,0.1472,0.10845,0.03853,2.2541,3.45805,2.34007,0.00197384,0.00197384,0.00197384
24,39422.8,2.26171,2.7847,2.27736,0.17437,0.18705,0.1029,0.03679,2.40816,3.63802,2.45414,0.00197142,0.00197142,0.00197142
25,39679.2,2.22476,2.79504,2.24727,0.13612,0.14029,0.06459,0.02394,2.34979,3.44141,2.46195,0.0019689,0.0019689,0.0019689
26,39908.5,2.22468,2.78369,2.26758,0.17217,0.22662,0.11635,0.04497,2.20636,3.19345,2.28514,0.00196627,0.00196627,0.00196627
27,40143.3,2.22233,2.80115,2.26294,0.19879,0.18705,0.12344,0.04838,2.30189,3.27532,2.30793,0.00196353,0.00196353,0.00196353
28,40405.9,2.20845,2.78752,2.21694,0.28274,0.21223,0.13532,0.04527,2.30356,3.39302,2.3358,0.00196069,0.00196069,0.00196069
29,40781.5,2.2139,2.79437,2.23214,0.23544,0.18705,0.11164,0.04291,2.29023,3.24029,2.30789,0.00195775,0.00195775,0.00195775
30,41028.6,2.23389,2.7879,2.23351,0.20361,0.23022,0.12061,0.04038,2.28251,3.47218,2.28003,0.0019547,0.0019547,0.0019547
31,41297.9,2.20277,2.71979,2.20658,0.22028,0.16547,0.11694,0.04902,2.30714,3.77928,2.37282,0.00195155,0.00195155,0.00195155
32,41557.2,2.23228,2.77467,2.24373,0.22525,0.22662,0.14397,0.05378,2.21699,3.21848,2.31584,0.00194829,0.00194829,0.00194829
33,41867.6,2.20539,2.75423,2.24383,0.24241,0.23381,0.14266,0.05462,2.19988,3.18058,2.26564,0.00194493,0.00194493,0.00194493
